A&AS,advisory and assistance services
API,application programming interface
APIA,"acquisition policy, integrity and accountability"
APL,applied physics laboratory
APL,approved parts list
APL,assessed products listing
APL,assessed products list
APL,allowance parts list 
APLM,ammunition product line management
APM,army program memorandum
APM,acquisition program manager
APMC,advanced program management course
APML,assistant program manager for logistics
APMP,association of proposal management professional
APN,abatement priority number
APN,aircraft procurement navy
APO,army post office
APO,air post office
APOD,aerial port of debarkation
APOD/E,aerial port of debarkation/embarkation
APOE,aerial port of embarkation
APOM,amended program objective memorandum
APORTS,aerial ports and an operating bases file 
APP,agency peculiar property
APP,application portability profile
APPACT,appropriation accounting
APPG,annual planning and programming guidance
APPN,appropriation
APPS,automated past performance system
APR,agency procurement request
APS,advance planning and scheduling
APS,automate procurement system
APS,afloat planning system
APSM,automated pay system manual
APT,airpower team
APT,aviation program team
APTS,activity providing telephone service
APTU,army participating test unit
APU,auxiliary power unit
APUC,average procurement unit cost
APWP,actual price of work performed
APZ,above the promotion zone
AQ,acquisition
AQAP,allied quality assurance provision
AQCO,"assistant executive director, operations/policy"
AQD,additional qualification designator
AQE,airman qualifying examination
AQL,acceptable quality level
AQLT,acquisition lead time
AQN,actual quantity needed
AQS,advanced quality system
AQTDP,assurance technical development program
AR,acquisition reform
AR,accounting report
AR,acceleration request
AR,army regulation
ARA,airborne radar approach
ARA,acquisition resource and analysis
ARA,assigned responsible agency
ARADS,army recruiting and accession data system
ARAT,army reprogramming analysis team
ARB,air reserve base
ARB,award review board
ARB,afmc resource board
ARB,acquisition review board
ARBG,acquisition reform benchmarking group
ARC,american red cross
ARC,armament radioed center
ARC,air reserve components
ARC,adjustment reply code
ARC,army reuse center
ARC,application review and consolidation
ARCC,acquisition reform communication center
ARCENT,army central command
A-RCI,acoustic rapid cots insertion
ARCS,army ration credit system
ARD,automatic release date
ARE,acquisition reform executive
AREP,aircraft repair enhancement program
ARES,automated risk evaluation system
ARF,air reserve forces
ARFA,allied radio frequency agency
ARFCOS,armed force courier service
ARFF,aircraft rescue and fire fighting
ARGUS,argus information management system
ARHS,attitude and heading reference system
ARI,army research institute
ARI,actuarial removal interval
ARI,average of relatives index
ARIL,automatic return item list
ARL,army research laboratory
ARMS,automated records management system
ARMYLOG,army logistic data
ARN,additional reference number
ARNET,acquisition reform network
ARNG,army national guard
ARO,acquisition reform office
ARO,army release order
ARO,after receipt of order
ARO-MIS,aro management information system
AROWS-R,air reserve orders writing system - reserves
ARP,acquisition requirement packages
ARP,autopilot replacement program
ARPA,advanced research project agency
ARPA,automated radar plotting aid
ARPAS,air reserve pay and allowance system
ARPC,air reserve personnel center
ARPCP,air reserve personnel center pamphlet
ARPRO,army plant representatives office
ARQ,authorized requisition quantity
ARR,annual requisition review
ARR,accounting rate of return method
ARR,allowance requirement register
ARRCOM,armaments materiel readiness command 
ARRCS,automated repair requirement compilation system
ARS,air refueling squadron
ARS,automated reconciliation system
ARS,autonomous robotic system
ARSSG,acquisition reform senior steering group
ARSTAF,army functional agency and army staff
ART,aef utc reporting tool
ART,alarm response team
ART,air reserve technician
ARTB,advanced radar test bed
ARTCC,air route traffic control center
ARTEP,army training and evaluation program
ARTEWG,ada run time environment working group
ARTS,automated report tracking system
ARW,air refueling wing
ARWR,advanced radar warning receiver
AS,airlift squadron
AS,allowance source
AS,allowance standard
AS,arsenal ship
AS,actual start
AS,assistance service
ASA,assistant secretary of the army
ASA,alternate structured approach
ASAF,assistant secretary of air force 
ASAF,assistant secretary of the air force
ASAFA,assistant secretary of air force acquisition
ASAMC,advanced software acquisition management course
ASAP,as soon as possible
ASARC,army system acquisition review council
ASARC,army systems acquisition review council
ASAS,all source analysis system
ASAS-W/WL,all source analysis system warrior/warlord
ASAT,anti satellite
ASB,audit service bureau
ASBC,air and space basic course
ASBCA,armed services board of contract appeals
ASC,allied support completion
ASC,aeronautical systems center
ASC,army staff council
ASC,allowance source code
ASC,autodin switching center
ASC,advanced systems concept 
ASC,army signal command
ASC,accredited standard committee
ASCAD,air staff code and description
ASCAS,automated security clearance approval system
ASCC,air standardization coordination committee
ASCE,american society of civil engineer
ASCIET,all-service combat id evaluation team
ASCM,anti ship cruise missiles
ASD,assistant secretary of defense 
ASD,aeronautical systems division
ASD,assistant secretary of defense
ASD,automated system demonstration
ASDC,assistant secretary of defense comptroller
ASDP,accelerated software development process
ASDP,abbreviated system decision paper
ASDRA,assistant secretary of defense reserve affairs
ASDS,advanced seal delivery system
ASE,aircraft servicing equipment
ASEAN,association of southeast asian nations
ASEF,aircrew system evaluation facility
ASEM,application specific electronic modules
ASETS,advanced seeker evaluation test system
ASETS,airborne seeker evaluation and test system
ASETS,airborne seeker evaluation test system
ASF,army stock fund
ASI,additional skill identifier
ASI,amended shipping instruction
ASIC,application specific integrated circuits
ASIF,airlift service industrial fund
ASIM,automated security incident measurement
ASIM,aircraft stores interface manual
ASIOE,associated support item of equipment
ASIP,aircraft structural improvement program
ASIP,aircraft structural integrity
ASIP,aircraft structural integrity program
ASIS,ammunition surveillance information system
ASIS,ada semantic interface specification
ASL,authorized supply level 
ASL,above sea level
ASL,approved source list
ASL,adjusted stock level
ASL,alternate storage location
ASL,atmospheric science laboratory
ASL,authorized stockage list
ASM,acquisition security manager
ASM,aircraft sustainability model
ASM,acquisition strategy meeting
ASMC,american society of military comptrollers
ASMD,anti ship missile defense
ASME,american society of mechanical engineers
ASMIS,army safety management information system
ASN,allotment serial number
ASN,assistant secretary of the navy
ASNP,aircrew style name patches
ASNR,air senior national representative
ASNT,american society of nondestructive testing
ASO,aviation supply office 
ASOC,air support operations center
ASP,acquisition strategy process
ASP,acquisition system protection
ASP,acquisition strategy plan
ASP,acquisition support program
ASP,acquisition strategy panel
ASPJ,advanced self protection jammer
ASPM,armed services pricing manual
